killi_prot	gene_id	ensembl_gene_id	Human_Gene_Symbol
KAF7214813.1	G4P62_006823	ENSG00000073734	ABCB11
KAF7214814.1	G4P62_006824	ENSG00000025423	HSD17B6
KAF7214815.1	G4P62_006825	ENSG00000110955	ATP5F1B
KAF7214816.1	G4P62_006826	ENSG00000239474	KLHL41
KAF7214817.1	G4P62_006827	ENSG00000165621	OXGR1
KAF7214818.1	G4P62_006828	ENSG00000171004	HS6ST2
KAF7214819.1	G4P62_006829	ENSG00000134874	DZIP1
KAF7214820.1	G4P62_006829	ENSG00000134874	DZIP1
KAF7214821.1	G4P62_006830	ENSG00000125257	ABCC4
KAF7214822.1	G4P62_006831	ENSG00000134873	CLDN10
KAF7214823.1	G4P62_006832	ENSG00000134873	CLDN10
KAF7214824.1	G4P62_006833	ENSG00000082258	CCNT2
KAF7214825.1	G4P62_006834	ENSG00000048991	R3HDM1
KAF7214826.1	G4P62_006834	ENSG00000048991	R3HDM1
KAF7214827.1	G4P62_006834	ENSG00000048991	R3HDM1
KAF7214828.1	G4P62_006835	ENSG00000184898	RBM43
KAF7214829.1	G4P62_006836	ENSG00000115963	RND3
KAF7214830.1	G4P62_006837	ENSG00000168288	MMADHC
KAF7214831.1	G4P62_006838	ENSG00000187123	LYPD6
KAF7214832.1	G4P62_006838	ENSG00000187123	LYPD6
KAF7214833.1	G4P62_006839	ENSG00000121390	PSPC1
KAF7214834.1	G4P62_006839	ENSG00000121390	PSPC1
KAF7214835.1	G4P62_006840	ENSG00000137727	ARHGAP20
KAF7214836.1	G4P62_006840	ENSG00000137727	ARHGAP20
KAF7214837.1	G4P62_006841	ENSG00000137714	FDX1
KAF7214838.1	G4P62_006842	ENSG00000133661	SFTPD
KAF7214839.1	G4P62_006842	ENSG00000133661	SFTPD
KAF7214840.1	G4P62_006842	ENSG00000133661	SFTPD
KAF7214841.1	G4P62_006843	ENSG00000144426	NBEAL1
KAF7214842.1	G4P62_006844	ENSG00000082146	STRADB
KAF7214843.1	G4P62_006844	ENSG00000082146	STRADB
KAF7214844.1	G4P62_006844	ENSG00000082146	STRADB
KAF7214845.1	G4P62_006845	ENSG00000115993	TRAK2
KAF7214846.1	G4P62_006845	ENSG00000115993	TRAK2
KAF7214847.1	G4P62_006845	ENSG00000115993	TRAK2
KAF7214848.1	G4P62_006845	ENSG00000115993	TRAK2
KAF7214849.1	G4P62_006845	ENSG00000115993	TRAK2
KAF7214850.1	G4P62_006846	ENSG00000121060	TRIM25
KAF7214851.1	G4P62_006848	ENSG00000110148	CCKBR
KAF7214852.1	G4P62_006849	ENSG00000144410	CPO
KAF7214853.1	G4P62_006850	ENSG00000136159	NUDT15
KAF7214854.1	G4P62_006850	ENSG00000136159	NUDT15
KAF7214855.1	G4P62_006851	ENSG00000167984	NLRC3
KAF7214856.1	G4P62_006852	ENSG00000167984	NLRC3
KAF7214857.1	G4P62_006852	ENSG00000167984	NLRC3
KAF7214858.1	G4P62_006852	ENSG00000167984	NLRC3
KAF7214859.1	G4P62_006853	ENSG00000204442	FAM155A
KAF7214860.1	G4P62_006854	ENSG00000174405	LIG4
KAF7214861.1	G4P62_006855	ENSG00000185950	IRS2
KAF7214862.1	G4P62_006855	ENSG00000185950	IRS2
KAF7214863.1	G4P62_006856	ENSG00000134575	ACP2
KAF7214864.1	G4P62_006856	ENSG00000134575	ACP2
KAF7214865.1	G4P62_006857	ENSG00000077585	GPR137B
KAF7214866.1	G4P62_006858	ENSG00000125384	PTGER2
KAF7214867.1	G4P62_006859	ENSG00000087303	NID2
KAF7214868.1	G4P62_006859	ENSG00000087303	NID2
KAF7214869.1	G4P62_006859	ENSG00000087303	NID2
KAF7214870.1	G4P62_006859	ENSG00000087303	NID2
KAF7214871.1	G4P62_006859	ENSG00000087303	NID2
KAF7214872.1	G4P62_006859	ENSG00000087303	NID2
KAF7214873.1	G4P62_006859	ENSG00000087303	NID2
KAF7214874.1	G4P62_006859	ENSG00000087303	NID2
KAF7214875.1	G4P62_006859	ENSG00000087303	NID2
KAF7214876.1	G4P62_006859	ENSG00000087303	NID2
KAF7214877.1	G4P62_006859	ENSG00000087303	NID2
KAF7214878.1	G4P62_006859	ENSG00000087303	NID2
KAF7214879.1	G4P62_006860	ENSG00000087302	RTRAF
KAF7214880.1	G4P62_006861	ENSG00000150459	SAP18
KAF7214881.1	G4P62_006862	ENSG00000121743	GJA3
KAF7214882.1	G4P62_006863	ENSG00000177551	NHLH2
KAF7214883.1	G4P62_006864	ENSG00000173218	VANGL1
KAF7214884.1	G4P62_006864	ENSG00000173218	VANGL1
KAF7214885.1	G4P62_006864	ENSG00000173218	VANGL1
KAF7214886.1	G4P62_006865	ENSG00000118729	CASQ2
KAF7214887.1	G4P62_006865	ENSG00000118729	CASQ2
KAF7214888.1	G4P62_006866	ENSG00000163389	POGLUT1
KAF7214889.1	G4P62_006866	ENSG00000163389	POGLUT1
KAF7214890.1	G4P62_006867	ENSG00000113845	TIMMDC1
KAF7214891.1	G4P62_006868	ENSG00000152128	TMEM163
KAF7214892.1	G4P62_006869	ENSG00000152127	MGAT5
KAF7214893.1	G4P62_006870	ENSG00000112782	CLIC5
KAF7214894.1	G4P62_006871	ENSG00000001561	ENPP4
KAF7214895.1	G4P62_006872	ENSG00000171044	XKR6
KAF7214896.1	G4P62_006873	ENSG00000084734	GCKR
KAF7214897.1	G4P62_006873	ENSG00000084734	GCKR
KAF7214898.1	G4P62_006874	ENSG00000183638	RP1L1
KAF7214899.1	G4P62_006875	ENSG00000183638	RP1L1
KAF7214900.1	G4P62_006876	ENSG00000184860	SDR42E1
KAF7214901.1	G4P62_006877	ENSG00000163064	EN1
KAF7214902.1	G4P62_006877	ENSG00000163064	EN1
KAF7214903.1	G4P62_006878	ENSG00000144119	C1QL2
KAF7214904.1	G4P62_006879	ENSG00000115107	STEAP3
KAF7214905.1	G4P62_006879	ENSG00000115107	STEAP3
KAF7214906.1	G4P62_006880	ENSG00000182256	GABRG3
KAF7214907.1	G4P62_006881	ENSG00000186297	GABRA5
KAF7214908.1	G4P62_006882	ENSG00000166206	GABRB3
KAF7214909.1	G4P62_006883	ENSG00000102471	NDFIP2
KAF7214910.1	G4P62_006883	ENSG00000102471	NDFIP2
KAF7214911.1	G4P62_006884	ENSG00000136158	SPRY2
KAF7214912.1	G4P62_006885	ENSG00000178235	SLITRK1
KAF7214913.1	G4P62_006886	ENSG00000184564	SLITRK6
KAF7214914.1	G4P62_006887	ENSG00000165300	SLITRK5
KAF7214915.1	G4P62_006888	ENSG00000101871	MID1
KAF7214916.1	G4P62_006889	ENSG00000047648	ARHGAP6
KAF7214917.1	G4P62_006890	ENSG00000005302	MSL3
KAF7214918.1	G4P62_006891	ENSG00000169933	FRMPD4
KAF7214920.1	G4P62_006893	ENSG00000147044	CASK
KAF7214921.1	G4P62_006893	ENSG00000147044	CASK
KAF7214922.1	G4P62_006893	ENSG00000147044	CASK
KAF7214923.1	G4P62_006893	ENSG00000147044	CASK
KAF7214924.1	G4P62_006893	ENSG00000147044	CASK
KAF7214925.1	G4P62_006893	ENSG00000147044	CASK
KAF7214926.1	G4P62_006893	ENSG00000147044	CASK
KAF7214927.1	G4P62_006893	ENSG00000147044	CASK
KAF7214928.1	G4P62_006893	ENSG00000147044	CASK
KAF7214929.1	G4P62_006893	ENSG00000147044	CASK
KAF7214930.1	G4P62_006893	ENSG00000147044	CASK
KAF7214931.1	G4P62_006893	ENSG00000147044	CASK
KAF7214932.1	G4P62_006893	ENSG00000147044	CASK
KAF7214933.1	G4P62_006893	ENSG00000147044	CASK
KAF7214934.1	G4P62_006893	ENSG00000147044	CASK
KAF7214935.1	G4P62_006893	ENSG00000147044	CASK
KAF7214936.1	G4P62_006894	ENSG00000171659	GPR34
KAF7214937.1	G4P62_006895	ENSG00000120334	CENPL
KAF7214938.1	G4P62_006895	ENSG00000120334	CENPL
KAF7214939.1	G4P62_006895	ENSG00000120334	CENPL
KAF7214940.1	G4P62_006896	ENSG00000069509	FUNDC1
KAF7214941.1	G4P62_006896	ENSG00000069509	FUNDC1
KAF7214942.1	G4P62_006896	ENSG00000069509	FUNDC1
KAF7214943.1	G4P62_006896	ENSG00000069509	FUNDC1
KAF7214944.1	G4P62_006897	ENSG00000147050	KDM6A
KAF7214945.1	G4P62_006897	ENSG00000147050	KDM6A
KAF7214946.1	G4P62_006898	ENSG00000010379	SLC6A13
KAF7214947.1	G4P62_006898	ENSG00000010379	SLC6A13
KAF7214948.1	G4P62_006899	ENSG00000154736	ADAMTS5
KAF7214949.1	G4P62_006900	ENSG00000154734	ADAMTS1
KAF7214950.1	G4P62_006901	ENSG00000166265	CYYR1
KAF7214951.1	G4P62_006902	ENSG00000142192	APP
KAF7214952.1	G4P62_006902	ENSG00000142192	APP
KAF7214953.1	G4P62_006903	ENSG00000154723	ATP5PF
KAF7214954.1	G4P62_006904	ENSG00000154721	JAM2
KAF7214955.1	G4P62_006904	ENSG00000154721	JAM2
KAF7214956.1	G4P62_006905	ENSG00000154719	MRPL39
KAF7214957.1	G4P62_006906	ENSG00000123728	RAP2C
KAF7214958.1	G4P62_006907	ENSG00000139793	MBNL2
KAF7214959.1	G4P62_006907	ENSG00000139793	MBNL2
KAF7214960.1	G4P62_006907	ENSG00000139793	MBNL2
KAF7214961.1	G4P62_006907	ENSG00000139793	MBNL2
KAF7214962.1	G4P62_006907	ENSG00000139793	MBNL2
KAF7214963.1	G4P62_006907	ENSG00000139793	MBNL2
KAF7214964.1	G4P62_006907	ENSG00000139793	MBNL2
KAF7214965.1	G4P62_006907	ENSG00000139793	MBNL2
KAF7214966.1	G4P62_006907	ENSG00000139793	MBNL2
KAF7214967.1	G4P62_006907	ENSG00000139793	MBNL2
KAF7214968.1	G4P62_006907	ENSG00000139793	MBNL2
KAF7214969.1	G4P62_006907	ENSG00000139793	MBNL2
KAF7214970.1	G4P62_006908	ENSG00000188372	ZP3
KAF7214971.1	G4P62_006909	ENSG00000116117	PARD3B
KAF7214972.1	G4P62_006910	ENSG00000118257	NRP2
KAF7214973.1	G4P62_006911	ENSG00000115657	ABCB6
KAF7214974.1	G4P62_006912	ENSG00000115649	CNPPD1
KAF7214975.1	G4P62_006913	ENSG00000181929	PRKAG1
KAF7214976.1	G4P62_006913	ENSG00000106617	PRKAG2
KAF7214977.1	G4P62_006913	ENSG00000181929	PRKAG1
KAF7214978.1	G4P62_006913	ENSG00000106617	PRKAG2
KAF7214979.1	G4P62_006914	ENSG00000144567	RETREG2
KAF7214980.1	G4P62_006915	ENSG00000138400	MDH1B
KAF7214981.1	G4P62_006915	ENSG00000138400	MDH1B
KAF7214982.1	G4P62_006916	ENSG00000118246	FASTKD2
KAF7214983.1	G4P62_006916	ENSG00000118246	FASTKD2
KAF7214985.1	G4P62_006918	ENSG00000173166	RAPH1
KAF7214986.1	G4P62_006918	ENSG00000173166	RAPH1
KAF7214987.1	G4P62_006918	ENSG00000173166	RAPH1
KAF7214988.1	G4P62_006918	ENSG00000173166	RAPH1
KAF7214989.1	G4P62_006918	ENSG00000173166	RAPH1
KAF7214990.1	G4P62_006918	ENSG00000173166	RAPH1
KAF7214991.1	G4P62_006918	ENSG00000173166	RAPH1
KAF7214992.1	G4P62_006919	ENSG00000253710	ALG11
KAF7214993.1	G4P62_006920	ENSG00000080618	CPB2
KAF7214994.1	G4P62_006921	ENSG00000123200	ZC3H13
KAF7214995.1	G4P62_006922	ENSG00000071082	RPL31
KAF7214996.1	G4P62_006923	ENSG00000115526	CHST10
KAF7214997.1	G4P62_006923	ENSG00000115526	CHST10
KAF7214998.1	G4P62_006924	ENSG00000154310	TNIK
KAF7214999.1	G4P62_006924	ENSG00000154310	TNIK
KAF7215000.1	G4P62_006924	ENSG00000154310	TNIK
KAF7215001.1	G4P62_006924	ENSG00000154310	TNIK
KAF7215002.1	G4P62_006924	ENSG00000154310	TNIK
KAF7215003.1	G4P62_006924	ENSG00000154310	TNIK
KAF7215004.1	G4P62_006924	ENSG00000154310	TNIK
KAF7215005.1	G4P62_006924	ENSG00000154310	TNIK
KAF7215006.1	G4P62_006925	ENSG00000149289	ZC3H12C
KAF7215007.1	G4P62_006925	ENSG00000149289	ZC3H12C
KAF7215008.1	G4P62_006926	ENSG00000137710	RDX
KAF7215009.1	G4P62_006927	ENSG00000126217	MCF2L
KAF7215010.1	G4P62_006927	ENSG00000126217	MCF2L
KAF7215011.1	G4P62_006927	ENSG00000126217	MCF2L
KAF7215012.1	G4P62_006927	ENSG00000126217	MCF2L
KAF7215013.1	G4P62_006927	ENSG00000126217	MCF2L
KAF7215014.1	G4P62_006927	ENSG00000126217	MCF2L
KAF7215015.1	G4P62_006928	ENSG00000102547	CAB39L
KAF7215016.1	G4P62_006929	ENSG00000102543	CDADC1
KAF7215017.1	G4P62_006929	ENSG00000102543	CDADC1
KAF7215018.1	G4P62_006930	ENSG00000136144	RCBTB1
KAF7215019.1	G4P62_006930	ENSG00000136144	RCBTB1
KAF7215020.1	G4P62_006931	ENSG00000102466	FGF14
KAF7215021.1	G4P62_006931	ENSG00000102466	FGF14
KAF7215022.1	G4P62_006932	ENSG00000126216	TUBGCP3
KAF7215023.1	G4P62_006933	ENSG00000182968	SOX1
KAF7215024.1	G4P62_008659	ENSG00000204694	OR11A1
KAF7215025.1	G4P62_008660	ENSG00000276119	OR13C2
KAF7215026.1	G4P62_010268	ENSG00000169855	ROBO1
KAF7215027.1	G4P62_010269	ENSG00000211794	TRAV12-3
KAF7215028.1	G4P62_012694	ENSG00000204694	OR11A1
KAF7215029.1	G4P62_012695	ENSG00000204694	OR11A1
KAF7215030.1	G4P62_012696	ENSG00000276119	OR13C2
KAF7215031.1	G4P62_013232	ENSG00000204291	COL15A1
KAF7215032.1	G4P62_013233	ENSG00000154358	OBSCN
KAF7215033.1	G4P62_013233	ENSG00000154358	OBSCN
KAF7215034.1	G4P62_013233	ENSG00000154358	OBSCN
KAF7215035.1	G4P62_013233	ENSG00000154358	OBSCN
KAF7215036.1	G4P62_013233	ENSG00000154358	OBSCN
KAF7215037.1	G4P62_013233	ENSG00000154358	OBSCN
KAF7215038.1	G4P62_013234	ENSG00000144579	CTDSP1
KAF7215039.1	G4P62_013235	ENSG00000072195	SPEG
KAF7215040.1	G4P62_013236	ENSG00000163464	CXCR1
KAF7215041.1	G4P62_013237	ENSG00000173559	NABP1
KAF7215042.1	G4P62_013238	ENSG00000168497	CAVIN2
KAF7215043.1	G4P62_013238	ENSG00000168497	CAVIN2
KAF7215044.1	G4P62_013239	ENSG00000144339	TMEFF2
KAF7215045.1	G4P62_013240	ENSG00000196950	SLC39A10
KAF7215046.1	G4P62_013240	ENSG00000196950	SLC39A10
KAF7215047.1	G4P62_013240	ENSG00000196950	SLC39A10
KAF7215048.1	G4P62_013240	ENSG00000196950	SLC39A10
KAF7215049.1	G4P62_013240	ENSG00000196950	SLC39A10
KAF7215050.1	G4P62_013241	ENSG00000158220	ESYT3
KAF7215051.1	G4P62_013242	ENSG00000173193	PARP14
KAF7215052.1	G4P62_013242	ENSG00000173193	PARP14
KAF7215053.1	G4P62_013242	ENSG00000173193	PARP14
KAF7215054.1	G4P62_013242	ENSG00000173193	PARP14
KAF7215055.1	G4P62_013243	ENSG00000138496	PARP9
KAF7215056.1	G4P62_013244	ENSG00000158234	FAIM
KAF7215057.1	G4P62_013245	ENSG00000163464	CXCR1
KAF7215058.1	G4P62_013246	ENSG00000182963	GJC1
KAF7215059.1	G4P62_013247	ENSG00000115850	LCT
KAF7215060.1	G4P62_013248	ENSG00000068024	HDAC4
KAF7215061.1	G4P62_013248	ENSG00000068024	HDAC4
KAF7215062.1	G4P62_013248	ENSG00000068024	HDAC4
KAF7215063.1	G4P62_013249	ENSG00000288335	TWIST2
KAF7215064.1	G4P62_013250	ENSG00000168267	PTF1A
KAF7215065.1	G4P62_013251	ENSG00000065802	ASB1
KAF7215066.1	G4P62_013252	ENSG00000204104	TRAF3IP1
KAF7215067.1	G4P62_013252	ENSG00000204104	TRAF3IP1
KAF7215068.1	G4P62_013253	ENSG00000173467	AGR3
KAF7215069.1	G4P62_013253	ENSG00000173467	AGR3
KAF7215070.1	G4P62_013254	ENSG00000197381	ADARB1
KAF7215071.1	G4P62_013255	ENSG00000101247	NDUFAF5
KAF7215072.1	G4P62_013256	ENSG00000184182	UBE2F
KAF7215073.1	G4P62_013256	ENSG00000184182	UBE2F
KAF7215074.1	G4P62_013257	ENSG00000132329	RAMP1
KAF7215075.1	G4P62_013258	ENSG00000206538	VGLL3
KAF7215076.1	G4P62_013258	ENSG00000206538	VGLL3
KAF7215077.1	G4P62_013259	ENSG00000173193	PARP14
KAF7215078.1	G4P62_013259	ENSG00000173193	PARP14
KAF7215079.1	G4P62_013259	ENSG00000173193	PARP14
KAF7215080.1	G4P62_013260	ENSG00000083937	CHMP2B
KAF7215081.1	G4P62_013261	ENSG00000064835	POU1F1
KAF7215082.1	G4P62_013262	ENSG00000179097	HTR1F
KAF7215083.1	G4P62_013263	ENSG00000175105	ZNF654
KAF7215084.1	G4P62_013264	ENSG00000197763	TXNRD3
KAF7215085.1	G4P62_013265	ENSG00000179021	C3orf38
KAF7215086.1	G4P62_013267	ENSG00000080224	EPHA6
KAF7215087.1	G4P62_013274	ENSG00000166822	TMEM170A
KAF7215088.1	G4P62_013275	ENSG00000110075	PPP6R3
KAF7215089.1	G4P62_013275	ENSG00000110075	PPP6R3
KAF7215090.1	G4P62_013275	ENSG00000110075	PPP6R3
KAF7215091.1	G4P62_013275	ENSG00000110075	PPP6R3
KAF7215092.1	G4P62_013276	ENSG00000177963	RIC8A
KAF7215093.1	G4P62_013276	ENSG00000177963	RIC8A
KAF7215094.1	G4P62_013276	ENSG00000177963	RIC8A
KAF7215095.1	G4P62_013277	ENSG00000102974	CTCF
KAF7215096.1	G4P62_013277	ENSG00000102974	CTCF
KAF7215097.1	G4P62_013278	ENSG00000039523	RIPOR1
KAF7215098.1	G4P62_013278	ENSG00000039523	RIPOR1
KAF7215099.1	G4P62_013279	ENSG00000170946	DNAJC24
KAF7215100.1	G4P62_013280	ENSG00000131620	ANO1
KAF7215101.1	G4P62_013281	ENSG00000288160	PRR33
KAF7215102.1	G4P62_013282	ENSG00000288199	LSP1
KAF7215103.1	G4P62_013282	ENSG00000288199	LSP1
KAF7215104.1	G4P62_013282	ENSG00000288199	LSP1
KAF7215105.1	G4P62_013282	ENSG00000288199	LSP1
KAF7215106.1	G4P62_013283	ENSG00000288219	TNNI2
KAF7215107.1	G4P62_013283	ENSG00000288219	TNNI2
KAF7215108.1	G4P62_013284	ENSG00000288219	TNNI2
KAF7215109.1	G4P62_013285	ENSG00000288219	TNNI2
KAF7215110.1	G4P62_013286	ENSG00000288219	TNNI2
KAF7215111.1	G4P62_013286	ENSG00000288219	TNNI2
KAF7215112.1	G4P62_013287	ENSG00000108861	DUSP3
KAF7215113.1	G4P62_013288	ENSG00000146809	ASB15
KAF7215114.1	G4P62_013289	ENSG00000164675	IQUB
KAF7215115.1	G4P62_013290	ENSG00000081800	SLC13A1
KAF7215116.1	G4P62_013291	ENSG00000081803	CADPS2
KAF7215117.1	G4P62_013291	ENSG00000081803	CADPS2
KAF7215118.1	G4P62_013291	ENSG00000081803	CADPS2
KAF7215119.1	G4P62_013291	ENSG00000081803	CADPS2
KAF7215120.1	G4P62_013291	ENSG00000081803	CADPS2
KAF7215121.1	G4P62_013291	ENSG00000081803	CADPS2
KAF7215122.1	G4P62_013292	ENSG00000128610	FEZF1
KAF7215123.1	G4P62_013293	ENSG00000008311	AASS
KAF7215124.1	G4P62_013293	ENSG00000008311	AASS
KAF7215125.1	G4P62_013293	ENSG00000008311	AASS
KAF7215126.1	G4P62_013294	ENSG00000106278	PTPRZ1
KAF7215127.1	G4P62_013295	ENSG00000091140	DLD
KAF7215128.1	G4P62_013296	ENSG00000067715	SYT1
KAF7215129.1	G4P62_013297	ENSG00000179603	GRM8
KAF7215130.1	G4P62_013298	ENSG00000128513	POT1
KAF7215131.1	G4P62_013298	ENSG00000128513	POT1
KAF7215132.1	G4P62_013299	ENSG00000170775	GPR37
KAF7215133.1	G4P62_013299	ENSG00000170775	GPR37
KAF7215134.1	G4P62_013300	ENSG00000106304	SPAM1
KAF7215135.1	G4P62_013301	ENSG00000106302	HYAL4
KAF7215136.1	G4P62_013302	ENSG00000106302	HYAL4
KAF7215137.1	G4P62_013303	ENSG00000106299	WASL
KAF7215138.1	G4P62_013303	ENSG00000106299	WASL
KAF7215139.1	G4P62_013304	ENSG00000167996	FTH1
KAF7215140.1	G4P62_013305	ENSG00000167996	FTH1
KAF7215141.1	G4P62_013306	ENSG00000176340	COX8A
KAF7215142.1	G4P62_013307	ENSG00000171067	C11orf24
KAF7215143.1	G4P62_013308	ENSG00000162337	LRP5
KAF7215144.1	G4P62_013309	ENSG00000285460	BCAR1
KAF7215145.1	G4P62_013309	ENSG00000285460	BCAR1
KAF7215146.1	G4P62_013309	ENSG00000285460	BCAR1
KAF7215147.1	G4P62_013310	ENSG00000153774	CFDP1
KAF7215148.1	G4P62_013311	ENSG00000069482	GAL
KAF7215149.1	G4P62_013312	ENSG00000102981	PARD6A
KAF7215150.1	G4P62_013312	ENSG00000102981	PARD6A
KAF7215151.1	G4P62_013313	ENSG00000180423	HARBI1
KAF7215152.1	G4P62_013314	ENSG00000124479	NDP
KAF7215153.1	G4P62_013315	ENSG00000189221	MAOA
KAF7215154.1	G4P62_013316	ENSG00000182187	CRYGB
KAF7215155.1	G4P62_013317	ENSG00000120659	TNFSF11
KAF7215156.1	G4P62_013318	ENSG00000023516	AKAP11
KAF7215157.1	G4P62_013319	ENSG00000182187	CRYGB
KAF7215158.1	G4P62_013320	ENSG00000115020	PIKFYVE
KAF7215159.1	G4P62_013320	ENSG00000115020	PIKFYVE
KAF7215160.1	G4P62_013320	ENSG00000115020	PIKFYVE
KAF7215161.1	G4P62_013321	ENSG00000173166	RAPH1
KAF7215162.1	G4P62_013322	ENSG00000091986	CCDC80
KAF7215163.1	G4P62_013323	ENSG00000138459	SLC35A5
KAF7215164.1	G4P62_013324	ENSG00000198734	F5
KAF7215165.1	G4P62_013325	ENSG00000102763	VWA8
KAF7215166.1	G4P62_013326	ENSG00000067048	DDX3Y
KAF7215167.1	G4P62_013326	ENSG00000215301	DDX3X
KAF7215168.1	G4P62_013326	ENSG00000215301	DDX3X
KAF7215169.1	G4P62_013326	ENSG00000215301	DDX3X
KAF7215170.1	G4P62_013327	ENSG00000188937	NYX
KAF7215171.1	G4P62_013328	ENSG00000162999	DUSP19
KAF7215172.1	G4P62_013329	ENSG00000130147	SH3BP4
KAF7215173.1	G4P62_013329	ENSG00000130147	SH3BP4
KAF7215174.1	G4P62_013330	ENSG00000232040	ZBED9
KAF7215177.1	G4P62_013331	ENSG00000162998	FRZB
KAF7215178.1	G4P62_013332	ENSG00000154723	ATP5PF
KAF7215179.1	G4P62_013332	ENSG00000154723	ATP5PF
KAF7215180.1	G4P62_013333	ENSG00000160193	WDR4
KAF7215181.1	G4P62_013334	ENSG00000160190	SLC37A1
KAF7215182.1	G4P62_013335	ENSG00000160214	RRP1
KAF7215183.1	G4P62_013336	ENSG00000155052	CNTNAP5
KAF7215184.1	G4P62_013337	ENSG00000130414	NDUFA10
KAF7215185.1	G4P62_013338	ENSG00000106546	AHR
KAF7215186.1	G4P62_013339	ENSG00000160145	KALRN
KAF7215187.1	G4P62_013339	ENSG00000160145	KALRN
KAF7215188.1	G4P62_013339	ENSG00000160145	KALRN
KAF7215189.1	G4P62_013339	ENSG00000160145	KALRN
KAF7215190.1	G4P62_013340	ENSG00000182187	CRYGB
KAF7215191.1	G4P62_013341	ENSG00000182187	CRYGB
KAF7215192.1	G4P62_013342	ENSG00000160194	NDUFV3
KAF7215193.1	G4P62_013342	ENSG00000160194	NDUFV3
KAF7215194.1	G4P62_013342	ENSG00000160194	NDUFV3
KAF7215195.1	G4P62_013343	ENSG00000160199	PKNOX1
KAF7215196.1	G4P62_013343	ENSG00000160199	PKNOX1
KAF7215197.1	G4P62_013343	ENSG00000160199	PKNOX1
KAF7215198.1	G4P62_013343	ENSG00000160199	PKNOX1
KAF7215199.1	G4P62_013343	ENSG00000160199	PKNOX1
KAF7215200.1	G4P62_013343	ENSG00000160199	PKNOX1
KAF7215201.1	G4P62_013344	ENSG00000160183	TMPRSS3
KAF7215202.1	G4P62_013345	ENSG00000075388	FGF4
KAF7215203.1	G4P62_013346	ENSG00000125633	CCDC93
KAF7215204.1	G4P62_013347	ENSG00000156697	UTP14A
KAF7215205.1	G4P62_013348	ENSG00000125629	INSIG2
KAF7215206.1	G4P62_013348	ENSG00000125629	INSIG2
KAF7215207.1	G4P62_013348	ENSG00000125629	INSIG2
KAF7215208.1	G4P62_013349	ENSG00000163064	EN1
KAF7215209.1	G4P62_013350	ENSG00000138413	IDH1
KAF7215210.1	G4P62_013351	ENSG00000058866	DGKG
KAF7215211.1	G4P62_013352	ENSG00000244405	ETV5
KAF7215212.1	G4P62_013352	ENSG00000244405	ETV5
KAF7215213.1	G4P62_013352	ENSG00000244405	ETV5
KAF7215214.1	G4P62_013352	ENSG00000244405	ETV5
KAF7215215.1	G4P62_013352	ENSG00000244405	ETV5
KAF7215216.1	G4P62_013353	ENSG00000082781	ITGB5
KAF7215217.1	G4P62_013354	ENSG00000123610	TNFAIP6
KAF7215218.1	G4P62_013355	ENSG00000080345	RIF1
KAF7215219.1	G4P62_013355	ENSG00000080345	RIF1
KAF7215220.1	G4P62_013356	ENSG00000206561	COLQ
KAF7215221.1	G4P62_013357	ENSG00000213139	CRYGS
KAF7215222.1	G4P62_013358	ENSG00000113838	TBCCD1
KAF7215223.1	G4P62_013358	ENSG00000113838	TBCCD1
KAF7215224.1	G4P62_013359	ENSG00000090520	DNAJB11
KAF7215225.1	G4P62_013360	ENSG00000119042	SATB2
KAF7215226.1	G4P62_013360	ENSG00000119042	SATB2
KAF7215227.1	G4P62_013360	ENSG00000119042	SATB2
KAF7215228.1	G4P62_013360	ENSG00000119042	SATB2
KAF7215229.1	G4P62_013361	ENSG00000162944	RFTN2
KAF7215230.1	G4P62_013362	ENSG00000270757	HSPE1-MOB4
KAF7215231.1	G4P62_013362	ENSG00000115540	MOB4
KAF7215232.1	G4P62_013362	ENSG00000115541	HSPE1
KAF7215233.1	G4P62_013363	ENSG00000144381	HSPD1
KAF7215234.1	G4P62_013364	ENSG00000115520	COQ10B
KAF7215235.1	G4P62_013365	ENSG00000115524	SF3B1
KAF7215236.1	G4P62_013366	ENSG00000065413	ANKRD44
KAF7215237.1	G4P62_013366	ENSG00000065413	ANKRD44
KAF7215238.1	G4P62_013367	ENSG00000108774	RAB5C
KAF7215239.1	G4P62_013368	ENSG00000138231	DBR1
KAF7215240.1	G4P62_013368	ENSG00000138231	DBR1
KAF7215241.1	G4P62_013369	ENSG00000114098	ARMC8
KAF7215242.1	G4P62_013369	ENSG00000114098	ARMC8
KAF7215243.1	G4P62_013370	ENSG00000135519	KCNH3
KAF7215244.1	G4P62_013371	ENSG00000136141	LRCH1
KAF7215245.1	G4P62_013371	ENSG00000136141	LRCH1
KAF7215246.1	G4P62_013371	ENSG00000136141	LRCH1
KAF7215247.1	G4P62_013371	ENSG00000136141	LRCH1
KAF7215248.1	G4P62_013371	ENSG00000136141	LRCH1
KAF7215249.1	G4P62_013371	ENSG00000136141	LRCH1
KAF7215250.1	G4P62_013372	ENSG00000139684	ESD
KAF7215251.1	G4P62_013373	ENSG00000102468	HTR2A
KAF7215252.1	G4P62_013374	ENSG00000136143	SUCLA2
KAF7215253.1	G4P62_013375	ENSG00000136146	MED4
KAF7215254.1	G4P62_013376	ENSG00000136156	ITM2B
KAF7215255.1	G4P62_013377	ENSG00000197168	NEK5
